nes size p.value p.adj
MLXIPL -2.85584151628678 531 0.0042922932963751 0.0147519343291207
ZNF557 -2.85197534306384 424 0.00434484706975139 0.0148920162835514
ZNF837 -2.85097452444463 458 0.00435854613854632 0.0148920162835514
ESRRG -2.85033935728343 447 0.00436726051807059 0.0148920162835514
SATB1 -2.84687688145438 335 0.00441504339070114 0.0149673839270989
TFE3 2.84657363498692 430 0.00441925073746008 0.0149673839270989
TAL1 -2.84625004048706 489 0.00442374440724363 0.0149673839270989
HOXD12 2.84474698661785 73 0.00444467124943503 0.0149993298495146
ZBTB20 -2.84350269888282 336 0.00446206314957954 0.0150185681708198
HEYL 2.84193883512176 324 0.00448400933846541 0.0150185681708198
MSX2 2.84187757227314 402 0.00448487104641633 0.0150185681708198
ZBTB24 2.84036037911042 450 0.00450625943343184 0.0150515980052736
SOX13 -2.83787380412568 546 0.00454151343599986 0.0150892635372734
ZNF320 -2.83781769144687 181 0.00454231186134848 0.0150892635372734
SETDB1 2.83712368144338 398 0.00455219742242399 0.0150892635372734
ZBTB7B -2.83605261818378 336 0.00456749202438205 0.0151016318578303
USF1 2.83518751555446 307 0.00457987950619654 0.0151043500886179
ZNF530 2.83317389582466 262 0.00460883062766144 0.0151452742919782
FOXP1 -2.83271291272546 424 0.004615481752073 0.0151452742919782
NPAS2 -2.83032843470162 485 0.00465002427689168 0.0152203802145878
TP73 2.82945241346035 476 0.00466277335933728 0.0152239550182362
GTF3A -2.82220757121239 404 0.00476942965048234 0.0155333544227679
SIX1 -2.81380979348927 497 0.00489581871582472 0.0158862152410942
ZFP14 -2.81225564218423 227 0.0049195386950518 0.0158862152410942
ZNF396 -2.81173904321139 254 0.00492744619040733 0.0158862152410942
ZFP64 2.81141578769586 383 0.00493240005489264 0.0158862152410942
ZNF583 -2.81101204456156 221 0.00493859371200937 0.0158862152410942
ZNF589 -2.80809419351484 354 0.00498356478271742 0.0159914879759925
HIVEP1 2.80518374415854 284 0.00502879035521897 0.0160970593233235
